Vehicle,Engine,Body,Drive,M,2a,CoG,c_D,A_F,E_f
Toyota Yaris iA,gas,Sedan,front wheel drive,1081.81780245,2.57048,0.55,0.27,2.2,417.0
Volkswagen Tiguan Limited,gas,SUV,front wheel drive,1544.0284274800001,2.6035,0.52,0.35,2.6,608.0
Volvo S60 Cross Country,gas,Sedan,all wheel drive,1747.2378092400002,2.77368,0.55,0.27,2.2,640.0
Volvo V60 Cross Country,gas,Wagon,all wheel drive,1778.0820904000002,2.77368,0.56,0.29,2.2,640.0
Aston Martin Rapide S,gas,Sedan,rear wheel drive,1989.90972719,2.98958,0.55,0.27,2.2,859.0
Aston Martin V12 Vantage S,gas,Coupe,rear wheel drive,1665.1375902700001,2.60096,0.52,0.26,2.0,759.0
Aston Martin Vanquish,gas,Coupe,rear wheel drive,1739.0731465800002,2.74066,0.52,0.26,2.0,737.0
Audi SQ5,gas,SUV,all wheel drive,2004.8782754000001,2.8066999999999998,0.52,0.35,2.6,712.0
BMW 5 Series Gran Turismo,gas,Hatchback,rear wheel drive,2036.6297413000002,3.07086,0.54,0.3,2.1,665.0
Buick Regal,gas,Sedan,front wheel drive,1689.63157825,2.73812,0.55,0.27,2.2,647.0
Buick Verano,gas,Sedan,front wheel drive,1496.8548210000001,2.68478,0.55,0.27,2.2,561.0
Chevrolet SS,gas,Sedan,rear wheel drive,1813.00870289,2.91592,0.55,0.27,2.2,676.0
Chevrolet Traverse,gas,SUV,front wheel drive,2137.78083981,3.02006,0.52,0.35,2.6,791.0
Dodge Viper,gas,Coupe,rear wheel drive,1530.42065638,2.5095199999999998,0.52,0.26,2.0,575.0
Ferrari GTC4Lusso,gas,Coupe,all wheel drive,1920.0565022100002,2.98958,0.52,0.26,2.0,863.0
Hyundai Azera,gas,Sedan,front wheel drive,1671.03429108,2.8447999999999998,0.55,0.27,2.2,665.0
Hyundai Santa Fe Sport,gas,SUV,all wheel drive,1768.1030582600001,2.70002,0.52,0.35,2.6,626.0
INFINITI QX70,gas,SUV,rear wheel drive,1909.17028533,2.8854399999999996,0.52,0.35,2.6,856.0
Mitsubishi Lancer,gas,Sedan,all wheel drive,1425.18722654,2.6339799999999998,0.55,0.27,2.2,521.0
Rolls-Royce Phantom Drophead Coupe,gas,Convertible,rear wheel drive,2719.2862581500003,3.3197799999999997,0.53,0.31,2.1,759.0
Rolls-Royce Wraith,gas,Coupe,rear wheel drive,2440.3269506,3.1115,0.52,0.26,2.0,788.0
smart fortwo,gas,Hatchback,rear wheel drive,929.8643585000001,1.87198,0.54,0.3,2.1,313.0
Volkswagen CC,gas,Sedan,front wheel drive,1528.15269453,2.71018,0.55,0.27,2.2,665.0
Volkswagen Touareg,gas,SUV,all wheel drive,2130.06976952,2.89306,0.52,0.35,2.6,949.0
Aston Martin DB9 GT,gas,Coupe,rear wheel drive,1784.88597595,2.74066,0.52,0.26,2.0,741.0
Aston Martin V8 Vantage,gas,Coupe,rear wheel drive,1609.7993211300002,2.60096,0.52,0.26,2.0,759.0
Audi allroad,gas,Wagon,all wheel drive,1764.9279116700002,2.80416,0.56,0.29,2.2,579.0
Bentley Continental GT,gas,Convertible,all wheel drive,2495.2116273700003,2.7432,0.53,0.31,2.1,863.0
Cadillac SRX,gas,SUV,all wheel drive,2014.8573075400002,2.8066999999999998,0.52,0.35,2.6,755.0
Chevrolet Cruze Limited,gas,Sedan,front wheel drive,1414.30100966,2.68478,0.55,0.27,2.2,561.0
Dodge Dart,gas,Sedan,front wheel drive,1397.5180919700001,2.70256,0.55,0.27,2.2,475.0
